FID,Date,Latitude,Longitude,Oceans,Regions,SubRegions,Measurement,Unit,Density Range,Density Class,Sampling Method,Short Reference,DOI,Organization,Keywords,Accession Number,Accession Link,GlobalID,Long Reference,Beach Location,Ocean Bottom Depth (m),Sediment Sample Depth (m),Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),State,Country,Marine Setting,x,y
121998,7/11/2018 12:00:00 AM,26.729392,-111.906818,Pacific Ocean,Gulf of California,,0,pieces/m3,0-100,Very Low,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,9e551ae2-c5cb-4f5a-861c-e12cf12d0e3b,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Burro,,,,9,,,Baja California Sur,Mexico,Beach,-12457409.9961,3089703.3454
121832,5/30/2018 12:00:00 AM,15.664929,-96.544661,Pacific Ocean,,,1410.437236,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,a18b7283-1325-4d4e-a997-4066616a5d15,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",San Agustinillo,,,,3,,,Oaxaca,Mexico,Beach,-10747302.5013,1765951.9446
121915,6/15/2018 12:00:00 AM,25.297939,-108.533008,Pacific Ocean,Gulf of California,,0,pieces/m3,0-100,Very Low,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,00df8425-182a-4ac4-9e4c-6ebb55301667,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Glorias,,,,6,,,Sinaloa,Mexico,Beach,-12081839.1848,2912384.3227
122067,5/19/2018 12:00:00 AM,21.526733,-87.37755,Atlantic Ocean,Gulf of Mexico,,0,pieces/m3,0-100,Very Low,PVC cylinder,Cruz-Salas et al. 2022,https://doi.org/10.1016/j.rsma.2022.102423,"Universidad Autónoma de Baja California, Mexico",Holbox island; Mexico,278269,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278269,bba70cea-4be1-4eeb-bed4-ad0046974810,"Cruz-Salas, A.A., J.C. Alvarez-Zeferino, S. Ojeda-Benítez, S.E. Cruz-Sotelo, A. Vázquez-Morillas. 2022. Solid waste and microplastics on the beaches of Holbox island, Mexico. Regional Studies in Marine Science 53, 102423. https://doi.org/10.1016/j.rsma.2022.102423",Holbox island,,,,8,,,Quintana Roo,Mexico,Beach,-9726824.3728,2454797.8421
121769,4/28/2018 12:00:00 AM,18.558117,-94.99345,Atlantic Ocean,Gulf of Mexico,,2820.874471,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,d2c30b01-8ee7-4ae9-b720-b396126949cb,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Sontecomapa ,,,,10,,,Veracruz,Mexico,Beach,-10574622.4827,2102979.7934
121875,6/7/2018 12:00:00 AM,19.117731,-104.38699,Pacific Ocean,,,1410.437236,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,8a1d5c26-044a-42da-8e23-1123aceda65e,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Miramar,,,,6,,,Colima,Mexico,Beach,-11620306.5722,2168801.7481
121746,4/14/2018 12:00:00 AM,20.480567,-97.006983,Atlantic Ocean,Gulf of Mexico,,0,pieces/m3,0-100,Very Low,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,df9156e5-e6b9-4c4e-9c23-e12b7ed7a918,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Tecolutla,,,,7,,,Veracruz,Mexico,Beach,-10798767.951,2330048.4299
122001,7/13/2018 12:00:00 AM,24.14189,-110.349147,Pacific Ocean,Gulf of California,,1410.437236,pieces/m3,500-30000,Medium,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,3453fedd-4d3a-47ac-a9da-24a5176280ea,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Blandra,,,,2,,,Baja California Sur,Mexico,Beach,-12284010.8535,2770707.58
122041,5/18/2018 12:00:00 AM,21.5317,-87.3683,Atlantic Ocean,Gulf of Mexico,,1412.778269,pieces/m3,500-30000,Medium,PVC cylinder,Cruz-Salas et al. 2022,https://doi.org/10.1016/j.rsma.2022.102423,"Universidad Autónoma de Baja California, Mexico",Holbox island; Mexico,278269,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278269,39a97293-f751-4db9-b08f-ce8d8dc86330,"Cruz-Salas, A.A., J.C. Alvarez-Zeferino, S. Ojeda-Benítez, S.E. Cruz-Sotelo, A. Vázquez-Morillas. 2022. Solid waste and microplastics on the beaches of Holbox island, Mexico. Regional Studies in Marine Science 53, 102423. https://doi.org/10.1016/j.rsma.2022.102423",Holbox island,,,,2,,,Quintana Roo,Mexico,Beach,-9725794.6675,2455392.2366
121809,5/18/2018 12:00:00 AM,21.526733,-87.37755,Atlantic Ocean,Gulf of Mexico,,0,pieces/m3,0-100,Very Low,PVC cylinder,Alvarez-Zeferino et al. 2020,https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,3961fefa-bbbb-4cd0-aea8-fc881f7415d8,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",Holbox,,,,10,,,Quintana Roo,Mexico,Beach,-9726824.3728,2454797.8421
