Latitude,Longitude
39.9375,119.6625
39.9125,119.5791667
39.77083333,119.4041667
39.65416667,119.3125
38.87083333,121.6791667
39.02916667,121.5041667
39.0125,121.6375
39.3125,121.7541667
39.2125,121.6541667
39.37083333,122.2958333
39.47083333,122.4291667
39.47916667,122.5541667
39.6625,122.9791667
39.04583333,121.8291667
39.20416667,122.0541667
40.5375,120.6791667
40.3375,120.5125
40.60416667,120.7541667
40.22083333,120.4708333
40.1875,120.3041667
30.84583333,121.6541667
31.72916667,121.0541667
31.77916667,120.8208333
34.8375,119.1791667
34.8625,119.1708333
34.8875,119.1875
34.92083333,119.1958333
35.04583333,119.2125
32.7375,120.8541667
34.25416667,120.2791667
31.94583333,120.8875
31.89583333,121.8541667
32.05416667,121.6625
32.17916667,121.3875
54.6125,20.24583333
37.55416667,121.2875
37.4375,121.5541667
37.42916667,122.1708333
37.42916667,122.2708333
37.42083333,121.9458333
36.8625,122.3708333
37.10416667,122.4625
37.17916667,122.5541667
37.2875,122.5458333
36.69583333,121.2041667
37.8125,120.8041667
37.70416667,120.3958333
36.12916667,120.5791667
36.3875,120.6875
39.0875,117.7208333
29.95416667,121.7208333
29.3875,121.4875
29.89583333,121.9375
30.0125,122.0958333
30.0125,122.0625
30.04583333,121.9958333
29.9625,122.2458333
29.10416667,121.5208333
29.12083333,121.4708333
28.24583333,121.3875
28.22083333,121.2791667
28.6375,121.5125
27.97916667,120.7541667
27.5875,120.5791667
28.00416667,120.9708333
27.40416667,120.5458333
27.3375,120.5125
47.1375,38.32916667
26.0625,119.5125
26.47916667,119.5875
25.2875,118.9791667
26.64583333,119.5791667
44.9125,37.32083333
43.79583333,39.4625
43.42083333,39.92916667
43.3875,40.00416667
27.10416667,120.2541667
24.67916667,118.1625
24.65416667,118.1458333
24.6625,118.6458333
24.6125,118.3875
25.12083333,118.8791667
24.34583333,118.0291667
24.09583333,117.8958333
24.04583333,117.7041667
-39.87083333,-62.17083333
-36.30416667,-57.05416667
-35.74583333,-57.3625
-35.72916667,-57.35416667
-34.22916667,-58.40416667
-34.00416667,-58.47083333
-33.9375,-58.52083333
-33.3875,-58.35416667
-31.25416667,17.85416667
21.37083333,110.4208333
20.27083333,110.2208333
21.40416667,109.1541667
21.85416667,108.4625
21.57083333,108.1375
19.22083333,110.6125
19.15416667,110.5625
19.72083333,109.2958333
18.25416667,109.4958333
18.2375,109.5541667
18.27916667,109.4708333
18.2875,109.4541667
18.35416667,109.1291667
18.40416667,109.8125
19.4875,108.9375
46.62916667,31.17916667
46.64583333,31.69583333
-21.4375,-70.05416667
43.1875,40.2875
-14.99583333,-75.4625
-14.87916667,-75.5625
-21.19583333,13.62916667
-19.07916667,12.55416667
-25.2875,44.5125
46.50416667,30.72916667
46.54583333,30.74583333
-6.3875,-80.59583333
-6.304166667,-80.77083333
1.6375,-79.00416667
1.745833333,-78.60416667
2.6375,-77.79583333
3.2125,-77.52916667
3.3125,-77.47916667
3.429166667,-77.37083333
3.5125,-77.32083333
3.795833333,-77.12916667
3.8125,-77.09583333
4.0875,-77.42916667
4.9625,-77.34583333
7.9125,-76.75416667
7.920833333,-76.74583333
9.7875,-62.30416667
9.929166667,-62.4375
6.454166667,-58.59583333
6.4625,-58.5875
6.6125,-58.62083333
6.970833333,-58.52083333
7.604166667,-58.74583333
7.654166667,-58.7875
8.3375,-59.74583333
-0.854166667,42.0625
2.395833333,45.95416667
2.504166667,46.09583333
2.629166667,46.19583333
7.145833333,49.4625
7.220833333,49.5125
8.1375,50.05416667
8.370833333,50.19583333
8.895833333,50.44583333
9.229166667,50.67083333
8.5375,79.8875
8.5625,79.92083333
-4.920833333,103.5958333
-2.245833333,104.8291667
-2.0625,104.6875
-2.645833333,105.6375
-2.420833333,105.5541667
2.454166667,111.5958333
4.9625,115.4208333
4.245833333,117.5458333
4.3875,117.5875
4.404166667,117.5875
4.345833333,118.3458333
5.879166667,117.4791667
5.8875,117.5375
5.895833333,117.5041667
5.4375,118.8041667
5.5375,118.7541667
5.6625,118.1208333
5.6625,118.1291667
5.7875,118.2958333
5.779166667,118.3458333
9.979166667,118.8875
7.404166667,122.3458333
14.4875,-92.15416667
19.30416667,-87.67083333
29.69583333,-93.8375
10.4875,-75.4875
10.1375,-62.6125
20.54583333,-77.22083333
21.14583333,-78.49583333
16.60416667,-16.44583333
17.72083333,-16.04583333
17.8375,-16.0375
17.97916667,-16.02083333
18.12083333,-16.02916667
45.27083333,36.42083333
20.40416667,-16.32916667
27.22083333,-13.37083333
28.67916667,-11.12083333
16.7125,39.1375
17.14583333,38.99583333
18.49583333,37.99583333
18.60416667,37.85416667
18.7375,37.52083333
