longitude,latitude,mpw,area
120.2375,31.9375,5685870000,1.91E+12
117.7208333,38.9875,2443220000,2.12E+11
140.7041667,53.1125,2130160000,2.00E+12
90.62916667,23.22083333,1486410000,1.57E+12
119.7791667,34.4625,1311440000,58659700000
113.2541667,22.39583333,1100360000,3.89E+11
119.1708333,37.77083333,1049530000,7.61E+11
68.59583333,23.9375,873198000,3.19E+11
106.2541667,9.6125,871358000,7.74E+11
121.5125,31.35416667,784650000,26214800000
32.24583333,31.27916667,752208000,11647200000
95.0375,16.3625,628206000,3.77E+11
106.5291667,20.3125,495657000,1.39E+11
121.8291667,40.97083333,492318000,1.91E+11
-51.07916667,-0.670833333,474733000,5.91E+12
3.404166667,6.420833333,433631000,48346200000
122.1625,40.70416667,414316000,27775500000
48.4625,29.99583333,356298000,8.30E+11
8.254166667,4.820833333,341100000,52830300000
-58.52083333,-33.9375,334192000,2.59E+12
120.3291667,34.1125,311333000,12077900000
-74.84583333,11.07083333,309539000,2.61E+11
42.62916667,-0.2625,284765000,7.45E+11
118.0375,38.09583333,272217000,14229100000
79.87083333,6.970833333,255378000,2300400000
106.7541667,10.50416667,249893000,29746100000
118.9625,37.27916667,241681000,10802200000
113.5208333,23.04583333,235350000,33267800000
106.6458333,20.70416667,232988000,13242400000
120.9791667,14.57916667,217068000,4068000000
112.6375,-7.0625,215676000,15822100000
100.5625,13.6125,212830000,1.44E+11
106.1125,20.02916667,209976000,6011000000
97.6625,16.55416667,204100000,2.65E+11
7.529166667,4.545833333,198944000,7917500000
100.9875,13.4875,198000000,21975900000
29.84583333,31.15416667,195431000,6633100000
117.9291667,38.2375,193844000,9274000000
31.82916667,31.5125,191946000,2189800000
120.6208333,30.3875,190741000,43550600000
116.8541667,23.45416667,187489000,29470800000
79.9625,6.5875,187284000,2947600000
30.3875,31.44583333,179209000,2.92E+12
106.7208333,10.47916667,164846000,15577000000
31.17916667,31.5875,157828000,2202300000
39.2625,47.07916667,157236000,4.37E+11
4.154166667,51.9625,155540000,1.63E+11
112.8708333,-7.5625,150733000,11088800000
110.7458333,21.3875,150467000,8966800000
67.07916667,24.80416667,149780000,2246200000
-88.2375,15.72916667,147911000,16327800000
113.4041667,23.09583333,147290000,4014600000
125.5625,38.69583333,143375000,19386100000
121.4375,25.1625,142297000,2677400000
6.670833333,4.529166667,141672000,4780800000
100.2625,13.52916667,133690000,12673700000
29.69583333,45.24583333,133062000,7.86E+11
119.4708333,37.09583333,126552000,6645300000
120.1291667,36.1875,125962000,6239200000
49.37083333,39.3125,125255000,1.89E+11
120.7041667,28.02916667,125118000,17194200000
117.7291667,39.1125,121353000,9797700000
5.270833333,5.9125,117514000,14119100000
35.9625,36.04583333,116438000,23725700000
117.8458333,24.42916667,110829000,13813200000
82.24583333,16.7125,110472000,3.10E+11
-16.57916667,14.04583333,108402000,32903900000
79.7875,7.595833333,108015000,3476700000
120.6458333,14.77083333,107460000,9521000000
-92.67083333,18.5625,107126000,1.24E+11
116.5125,23.4375,105427000,4291700000
119.1875,37.12916667,104081000,4793300000
