latitude,longitude
31.9375,120.2375
38.9875,117.7208333
53.1125,140.7041667
23.22083333,90.62916667
34.4625,119.7791667
22.39583333,113.2541667
37.77083333,119.1708333
23.9375,68.59583333
9.6125,106.2541667
31.35416667,121.5125
31.27916667,32.24583333
16.3625,95.0375
20.3125,106.5291667
40.97083333,121.8291667
-0.670833333,-51.07916667
6.420833333,3.404166667
40.70416667,122.1625
29.99583333,48.4625
4.820833333,8.254166667
-33.9375,-58.52083333
34.1125,120.3291667
11.07083333,-74.84583333
-0.2625,42.62916667
38.09583333,118.0375
6.970833333,79.87083333
10.50416667,106.7541667
37.27916667,118.9625
23.04583333,113.5208333
20.70416667,106.6458333
14.57916667,120.9791667
-7.0625,112.6375
13.6125,100.5625
20.02916667,106.1125
16.55416667,97.6625
4.545833333,7.529166667
13.4875,100.9875
31.15416667,29.84583333
38.2375,117.9291667
31.5125,31.82916667
30.3875,120.6208333
23.45416667,116.8541667
6.5875,79.9625
31.44583333,30.3875
10.47916667,106.7208333
31.5875,31.17916667
47.07916667,39.2625
51.9625,4.154166667
-7.5625,112.8708333
21.3875,110.7458333
24.80416667,67.07916667
15.72916667,-88.2375
23.09583333,113.4041667
38.69583333,125.5625
25.1625,121.4375
4.529166667,6.670833333
13.52916667,100.2625
45.24583333,29.69583333
37.09583333,119.4708333
36.1875,120.1291667
39.3125,49.37083333
28.02916667,120.7041667
39.1125,117.7291667
5.9125,5.270833333
36.04583333,35.9625
24.42916667,117.8458333
16.7125,82.24583333
14.04583333,-16.57916667
7.595833333,79.7875
14.77083333,120.6458333
18.5625,-92.67083333
23.4375,116.5125
37.12916667,119.1875
19.77083333,105.8541667
22.74583333,89.52916667
5.9125,5.295833333
22.30416667,88.10416667
5.254166667,-4.004166667
26.0625,119.5125
8.4625,81.24583333
18.72083333,105.7541667
3.004166667,101.3791667
-29.22916667,31.4875
24.07916667,67.65416667
20.62083333,106.6458333
4.545833333,7.9875
31.40416667,30.75416667
7.270833333,79.84583333
9.929166667,106.4625
9.095833333,105.5041667
30.14583333,120.6625
6.3625,2.4375
17.29583333,96.92083333
8.579166667,-60.97916667
24.87083333,118.6208333
7.195833333,79.82083333
28.69583333,121.4125
-2.404166667,105.0291667
-18.80416667,36.25416667
21.6375,-105.4458333
38.2625,117.8458333
34.27083333,-6.654166667
53.54583333,9.8625
5.145833333,5.4625
39.1125,117.7208333
42.3125,130.6625
46.90416667,31.99583333
36.74583333,3.129166667
7.254166667,124.2041667
36.0375,0.1375
-7.679166667,109.1125
-31.62083333,29.54583333
29.95416667,121.7208333
36.87916667,6.104166667
53.55416667,14.60416667
-29.8125,31.0375
16.8375,96.10416667
18.32916667,121.6375
4.029166667,100.8208333
34.7875,119.2208333
22.44583333,113.0041667
6.395833333,3.029166667
37.05416667,119.5708333
5.945833333,80.55416667
3.520833333,103.4458333
22.52083333,120.4208333
-6.079166667,107.0125
-7.670833333,108.7958333
40.92916667,121.2458333
15.82083333,42.77916667
6.070833333,80.17083333
10.77916667,-83.5875
16.0375,120.2041667
39.2125,118.0708333
27.7375,120.6541667
36.72083333,5.079166667
40.84583333,121.5791667
28.14583333,51.27083333
13.92916667,-90.70416667
39.42083333,119.2625
23.19583333,116.6041667
24.87083333,66.97083333
24.14583333,120.5291667
12.9375,45.09583333
21.7875,111.9791667
40.02916667,124.3708333
17.95416667,-102.1375
-2.395833333,-79.8375
22.4375,87.8875
0.9375,-79.64583333
14.1375,43.0875
46.07916667,30.47083333
-3.170833333,40.14583333
38.77083333,117.5791667
-6.104166667,106.7791667
20.0125,110.3875
24.9125,66.72083333
-6.245833333,108.2208333
6.429166667,79.99583333
-32.67916667,28.37916667
13.37083333,99.99583333
22.3875,72.37916667
-7.979166667,110.2125
-5.945833333,107.0125
5.8375,5.1375
-1.095833333,104.1958333
26.77083333,119.7125
2.804166667,101.4041667
22.27083333,91.8125
5.195833333,-3.729166667
36.60416667,120.8125
15.90416667,-87.7375
37.55416667,121.2875
31.2625,32.32083333
-8.0125,110.2875
-34.62916667,-58.34583333
31.42916667,121.4625
37.42083333,53.94583333
13.09583333,-87.3375
22.57916667,89.39583333
25.9625,-97.15416667
32.02916667,-9.345833333
29.64583333,32.35416667
-5.570833333,105.8208333
-26.34583333,32.67916667
6.754166667,79.8875
20.77083333,86.94583333
26.99583333,55.7875
20.32916667,86.65416667
-6.095833333,106.9375
16.77083333,96.19583333
-28.40416667,32.42083333
9.1875,99.37083333
46.52916667,32.37916667
13.0625,45.3875
-7.8125,145.0125
32.02083333,120.8041667
-20.92916667,35.0625
4.3875,6.070833333
-6.770833333,110.5708333
21.6125,109.0708333
32.0375,120.7375
19.60416667,105.7958333
18.60416667,37.85416667
15.8625,108.3541667
-33.8625,18.4875
16.7625,94.7125
-4.679166667,105.8625
31.44583333,31.55416667
53.3375,8.495833333
36.8625,7.779166667
40.39583333,28.50416667
15.7625,80.8375
25.40416667,119.1208333
39.1875,118.1208333
